band_index,wavelength_nm
0,391.34999999999997
1,396.32
2,401.28999999999996
3,406.26
4,411.22999999999996
5,416.21000000000004
6,421.18
7,426.15999999999997
8,431.14000000000004
9,436.12
10,441.09999999999997
11,446.08
12,451.06
13,456.04
14,461.02
15,466.01
16,470.99
17,475.98
18,480.96
19,485.95
20,490.92999999999995
21,495.92
22,500.90999999999997
23,505.90000000000003
24,510.88999999999993
25,515.88
26,520.87
27,525.87
28,530.86
29,535.85
30,540.85
31,545.84
32,550.84
33,555.83
34,560.83
35,565.83
36,570.8299999999999
37,575.82
38,580.82
39,585.82
40,590.82
41,595.82
42,600.82
43,605.82
44,610.82
45,615.83
46,620.83
47,625.83
48,630.83
49,635.8399999999999
50,640.8399999999999
51,645.85
52,650.85
53,655.86
54,660.86
55,665.87
56,670.87
57,675.88
58,680.89
59,685.89
60,690.9
61,695.9100000000001
62,700.9100000000001
63,705.92
